ID Number,Date_Began,Year,General_Date (if date_began unknown),OrgName,Location (State),State,County,County,Primary CI Sector targeted,Secondary CI Sector,Strain,MITRE ATT&CK Software ID [if exists],"Duration (days, unless specified)",Duration Rank,Ransom Amount,Local Currency,RansomScale,PaidStatus,PayMethod (only if paid),AmtPaid,Source,Related incidents,Comments
100,1/15/2017,2017,,Warren County Sheriff's Department,MO,Missouri,Warren County,"Warren County, MO",Government Facilities,Emergency Services,CryptoMix,,,,,,,,,,https://www.dailydot.com/layer8/missouri-sheriff-hit-ransomware-leaked-audio-recordings-police-informants-victims/,,
101,1/17/2017,2017,,"Marion County, FL",FL,Florida,Marion County,"Marion County, FL",Government Facilities,,,,,,,,,No,N/A,N/A,https://www.seculore.com/cyber-attacks-florida         https://frontrunner-mccc.s3.amazonaws.com/785BBB3B-5056-907D-8D7D-CFF8DEFB68E3.pdf,,
102,1/19/2017,2017,,St Louis Public Library,MO,Missouri,St. Louis County,"St. Louis County, MO",Government Facilities,,,,1 week,1 week or less,"$35,000 in bitcoin","$35,000 (£28,000)",$50000 or less,No,N/A,N/A,https://www.theguardian.com/books/2017/jan/23/ransomware-attack-paralyses-st-louis-libraries-as-hackers-demand-bitcoin?CMP=twt_books_b-gdnbooks,,
103,1/21/2017,2017,,Romantik Seehotel Jaegerwirt,Austria,,,,Commercial Facilities,,,,1,1 day or less,2 bitcoin,"€1,500 ($1,600)",$50000 or less,Yes,bitcoin,"$1,600",https://www.csoonline.com/article/3162764/ransomware-locked-hotel-out-of-its-electronic-key-lock-system.html; https://www.bleepingcomputer.com/news/security/ransomware-infects-electronic-door-locking-system-at-austrian-hotel/,,
104,1/31/2017,2017,,Licking County government offices,OH,Ohio,Licking County,"Licking County, OH",Government Facilities,,,,,,,,,No,N/A,N/A,https://techcrunch.com/2017/02/02/ransomware-completely-shuts-down-ohio-town-government/,,
105,2/1/2017,2017,,Roxana Police Department,IL,,,,Emergency Services,,,,7,1 week or less,,,,No,N/A,N/A,http://fox2now.com/2017/02/10/roxana-police-department-the-latest-victim-of-ransomware/,,
106,2/7/2017,2017,,Office of Management and Enterprise,OK,Oklahoma,Oklahoma County,"Oklahoma County, OK",Government Facilities,,,,,,,,,No,N/A,N/A,https://www.news9.com/story/34515915/gov-omes-confirm-agency-hacked-no-ransom-paid,,
107,2/15/2017,2017,,Bingham County,ID,Idaho,Bingham County,"Bingham County, ID",Government Facilities,,,,,,"between $25,000 and $30,000 in bitcoin or western union","between $25,000 and $30,000",$50000 or less,No,N/A,N/A,https://www.ksl.com/index.php?sid=43220149&nid=157&title=hackers-demand-25k-30k-after-ransomware-attack-takes-down-countys-servers-in-idaho,,
108,3/3/2017,2017,,PA State Senate Democrats,PA,Pennsylvania,,", PA",Government Facilities,,,,,,,,,No,N/A,N/A,https://www.engadget.com/2017/03/04/ransomware-attack-pennsylvania-democrats-state-senators/,,
109,3/5/2017,2017,,Wood River Police Department,IL,,,,Emergency Services,,,,,,,,,No,N/A,N/A,https://www.thetelegraph.com/news/article/Wood-River-Police-Department-thwarts-attempt-at-12591008.php,,
110,4/1/2017,2017,,Forsyth Public Schools,MT,Montana,Rosebud County,"Rosebud County, MT",Education Facilities Subsector,,,,,,,,,No,N/A,N/A,https://techtalk.pcmatic.com/2017/04/03/forsyth-school-cyber-attack/,,
111,4/7/2017,2017,,Troup County (and PD),GA,Georgia,Troup County,"Troup County, GA",Government Facilities,Emergency Services,,,,,24 bitcoin,"$28,000 ",$50000 or less,No,N/A,N/A,https://www.wrbl.com/news/crime-watch/troup-county-says-hackers-demanded-ransom-in-server-breach/,,
112,4/9/2017,2017,4/9/2017- 5/20/2017,Erie County Medical Center,NY,,,,Healthcare and Public Health,,,,5 weeks,1 month or less,24 bitcoin,"$44,000 ",$50000 or less,No,N/A,N/A,http://buffalonews.com/2017/05/20/ecmc-got-hacked-cyber-extortionists/,,Duration: 9april- 10april when they decided not to pay but timeline for return to normal Services seemed to be around 12 may
113,4/21/2017,2017,,Pekin High School,IL,Illinois,Tazewell County,"Tazewell County, IL",Education Facilities Subsector,,,,,,"$37,000 ","$37,000 ",$50000 or less,No,N/A,N/A,https://www.pjstar.com/news/20170426/pekin-high-school-subject-of-cyberattack,,
114,4/25/2017,2017,,City of Newark,NJ,New Jersey,Essex County,"Essex County, NJ",Government Facilities,,Samsam,S0370,,,"$30,000 in bitcoin","$30,000 ",$50000 or less,Yes,bitcoin,"$30,000",https://www.wafb.com/2018/11/28/iranian-hackers-charged-us-ransomware-scheme/,,
115,4/27/2017,2017,,Cambrian College,Canada,,,,Education Facilities Subsector,,,,11,1 month or less,"$54,000 or 30 bitcoin","$54,000",$100000 or less,No,N/A,N/A,http://www.cbc.ca/news/canada/sudbury/cambrian-college-ransomware-hack-1.4093634,,
116,5/12/2017,2017,,National Health Service (NHS) UK,United Kingdom,,,,Healthcare and Public Health,,WannaCry,S0366,3 days,1 week or less,$300-$600,$300-$600,$1000 or less,,,,http://www.ibtimes.co.uk/wannacry-list-major-companies-networks-hit-by-deadly-ransomware-around-globe-1621587,116-141,
117,5/12/2017,2017,,Telefonica,Spain,,,,Communications,,WannaCry,S0366,3 days,1 week or less,$300-$600,$300-$600,$1000 or less,,,,http://www.ibtimes.co.uk/wannacry-list-major-companies-networks-hit-by-deadly-ransomware-around-globe-1621587,116-141,
118,5/12/2017,2017,,Renault,France and Slovenia,,,,Commercial Facilities,Critical Manufacturing,WannaCry,S0366,3 days,1 week or less,$300-$600,$300-$600,$1000 or less,,,,http://www.ibtimes.co.uk/wannacry-list-major-companies-networks-hit-by-deadly-ransomware-around-globe-1621587,116-141,
119,5/12/2017,2017,,FedEx,USA,,,,Transportation Systems,Communications,WannaCry,S0366,3 days,1 week or less,$300-$600,$300-$600,$1000 or less,,,,https://www.acronis.com/en-us/articles/ransomware-logistics/,116-141,
120,5/12/2017,2017,,Nissan,"Sunderland, England",,,,Commercial Facilities,Transportation Systems,WannaCry,S0366,3 days,1 week or less,$300-$600,$300-$600,$1000 or less,,,,http://www.ibtimes.co.uk/wannacry-list-major-companies-networks-hit-by-deadly-ransomware-around-globe-1621587,116-141,
121,5/12/2017,2017,,Russia Central Bank,Russia,,,,Financial Services,,WannaCry,S0366,3 days,1 week or less,$300-$600,$300-$600,$1000 or less,,,,http://www.ibtimes.co.uk/wannacry-list-major-companies-networks-hit-by-deadly-ransomware-around-globe-1621587,116-141,
122,5/12/2017,2017,,Russian Railways,Russia,,,,Transportation Systems,,WannaCry,S0366,3 days,1 week or less,$300-$600,$300-$600,$1000 or less,,,,http://www.ibtimes.co.uk/wannacry-list-major-companies-networks-hit-by-deadly-ransomware-around-globe-1621587,116-141,
123,5/12/2017,2017,,Russian Interior Ministry,Russia,,,,Government Facilities,,WannaCry,S0366,3 days,1 week or less,$300-$600,$300-$600,$1000 or less,,,,http://www.ibtimes.co.uk/wannacry-list-major-companies-networks-hit-by-deadly-ransomware-around-globe-1621587,116-141,
124,5/12/2017,2017,,Iberdrola,Spain,,,,Energy,,WannaCry,S0366,3 days,1 week or less,$300-$600,$300-$600,$1000 or less,,,,http://www.ibtimes.co.uk/wannacry-list-major-companies-networks-hit-by-deadly-ransomware-around-globe-1621587,116-141,
125,5/12/2017,2017,,Indian police in the state of Andhra Pradesh,India,,,,Emergency Services,,WannaCry,S0366,3 days,1 week or less,$300-$600,$300-$600,$1000 or less,,,,http://www.ibtimes.co.uk/wannacry-list-major-companies-networks-hit-by-deadly-ransomware-around-globe-1621587,116-141,
126,5/12/2017,2017,,MegaFon,Russia,,,,Communications,,WannaCry,S0366,3 days,1 week or less,$300-$600,$300-$600,$1000 or less,,,,http://www.ibtimes.co.uk/wannacry-list-major-companies-networks-hit-by-deadly-ransomware-around-globe-1621587,116-141,
127,5/12/2017,2017,,Sberbank,Russia,,,,Financial Services,,WannaCry,S0366,3 days,1 week or less,$300-$600,$300-$600,$1000 or less,,,,http://www.ibtimes.co.uk/wannacry-list-major-companies-networks-hit-by-deadly-ransomware-around-globe-1621587,116-141,
128,5/12/2017,2017,,Thailand Digital Billboard,Thailand,,,,Commercial Facilities,Communications,WannaCry,S0366,3 days,1 week or less,$300-$600,$300-$600,$1000 or less,,,,https://twitter.com/JamesMcLeary/status/863748297630011392?ref_src=twsrc%5Etfw&ref_url=http%3A%2F%2F     www.ibtimes.co.uk%2Fwannacry-list-major-companies-networks-hit-by-deadly-ransomware-around-globe-1621587,116-141,
129,5/12/2017,2017,,Singapore shopping mall,Singapore,,,,Commercial Facilities,,WannaCry,S0366,3 days,1 week or less,$300-$600,$300-$600,$1000 or less,,,,https://twitter.com/nkl0x55/status/863340271391580161/photo/1,116-141,
130,5/12/2017,2017,,Chinese Police,China,,,,Emergency Services,,WannaCry,S0366,3 days,1 week or less,$300-$600,$300-$600,$1000 or less,,,,https://twitter.com/cnLedger/status/863318942533566464/photo/1,116-141,
131,5/12/2017,2017,,Bank Of China,China,,,,Financial Services,,WannaCry,S0366,3 days,1 week or less,$300-$600,$300-$600,$1000 or less,,,,http://www.ibtimes.co.uk/wannacry-list-major-companies-networks-hit-by-deadly-ransomware-around-globe-1621587,116-141,
132,5/12/2017,2017,,China gas stations,China,,,,Energy,,WannaCry,S0366,3 days,1 week or less,$300-$600,$300-$600,$1000 or less,,,,http://www.ibtimes.co.uk/wannacry-list-major-companies-networks-hit-by-deadly-ransomware-around-globe-1621587,116-141,
133,5/12/2017,2017,,"Chinese traffic police, immigration and public security bureaus",China,,,,Government Facilities,,WannaCry,S0366,3 days,1 week or less,$300-$600,$300-$600,$1000 or less,,,,http://www.ibtimes.co.uk/wannacry-list-major-companies-networks-hit-by-deadly-ransomware-around-globe-1621587,116-141,
134,5/12/2017,2017,,Sandvik,Sweden,,,,Information Technology,,WannaCry,S0366,3 days,1 week or less,$300-$600,$300-$600,$1000 or less,,,,http://www.ibtimes.co.uk/wannacry-list-major-companies-networks-hit-by-deadly-ransomware-around-globe-1621587,116-141,
135,5/12/2017,2017,,Petrobras,Brazil,,,,Energy,,WannaCry,S0366,3 days,1 week or less,$300-$600,$300-$600,$1000 or less,,,,http://www.ibtimes.co.uk/wannacry-list-major-companies-networks-hit-by-deadly-ransomware-around-globe-1621587,116-141,
136,5/12/2017,2017,,Brazil's Foreign Ministry,Brazil,,,,Government Facilities,,WannaCry,S0366,3 days,1 week or less,$300-$600,$300-$600,$1000 or less,,,,http://www.ibtimes.co.uk/wannacry-list-major-companies-networks-hit-by-deadly-ransomware-around-globe-1621587,116-141,
137,5/12/2017,2017,,Brazil's social security system,Brazil,,,,Government Facilities,,WannaCry,S0366,3 days,1 week or less,$300-$600,$300-$600,$1000 or less,,,,http://www.ibtimes.co.uk/wannacry-list-major-companies-networks-hit-by-deadly-ransomware-around-globe-1621587,116-141,
138,5/12/2017,2017,,Portugal Telecom,Portugal,,,,Communications,,WannaCry,S0366,3 days,1 week or less,$300-$600,$300-$600,$1000 or less,,,,http://www.ibtimes.co.uk/wannacry-list-major-companies-networks-hit-by-deadly-ransomware-around-globe-1621587,116-141,
139,5/12/2017,2017,,Deutsche Bahn (Germany Rail Network),Germany,,,,Transportation Systems,,WannaCry,S0366,3 days,1 week or less,$300-$600,$300-$600,$1000 or less,,,,https://twitter.com/patrickcoomans/status/863434863243907073/photo/1                   https://www.acronis.com/en-us/articles/ransomware-logistics/,116-141,
140,5/12/2017,2017,,MediaOnline,Singapore,,,,Communications,,WannaCry,S0366,4 days,1 week or less,~$300USD in bitcoin,$419.55 SGD,$1000 or less,No,N/A,N/A,http://www.reuters.com/article/us-cyber-attack-victims-idUSKCN18B1PX?utm_campaign=trueAnthem:+Trending+Content&utm_content=5919d2da04d3013240ef843d&utm_medium=trueAnthem&utm_source=twitter,116-141,
141,5/12/2017,2017,,Hitachi,Japan,,,,Critical Manufacturing,Information Technology,WannaCry,S0366,5 days,1 week or less,~300USD in bitcoin,34043.25 JPY,$1000 or less,,,,http://www.npr.org/sections/thetwo-way/2017/05/15/528451534/wannacry-ransomware-what-we-know-monday?utm_source=twitter.com&utm_medium=social&utm_campaign=npr&utm_term=nprnews&utm_content=20170515,116-141,
142,5/12/2017,2017,,Cook County,IL,Illinois,Cook County,"Cook County, IL",Government Facilities,,WannaCry,S0366,,,,,,No,N/A,N/A,https://efficientgov.com/blog/2017/05/18/cook-county-hit-wannacry-ransomware/,,
143,5/15/2017,2017,,Rensselaer County Library,NY,New York,Rensselaer County,"Rensselaer County, NY",Government Facilities,,WannaCry,S0366,1 week,1 week or less,,,,No,N/A,N/A,https://altamontenterprise.com/06012017/computer-virus-strikes-library-regional-network,,
144,5/16/2017,2017,,Telkom,South Africa,,,,Communications,,WannaCry,S0366,2,1 week or less,$300-$600,$300-$600,$1000 or less,,,,https://mybroadband.co.za/news/security/211576-telkom-systems-crippled-by-wannacry-ransomware.html,,
145,6/10/2017,2017,,Internet Nayana,South Korea,,,,Information Technology,Communications,Erebus,,,,397 bitcoin,$1.14 million,$5000000 or less,Yes,Bitcoin,397.6 bitcoin (1.14 million USD),https://www.zdnet.com/article/korean-web-host-hands-over-1-billion-won-to-ransomware-crooks/; https://www.foxnews.com/tech/ransomware-attack-costs-south-korean-company-1m-largest-payment-ever,,
146,6/15/2017,2017,,NPR KQED San Francisco,CA,,,,Communications,,,,months,More than 1 month,1.7 bitcoin per computer,$2500 per computer ($27000 total),$50000 or less,No,N/A,N/A,https://www.kqed.org/futureofyou/436414/the-crippling-ransomware-attack-on-kqed-the-inside-story,,
147,6/19/2017,2017,,Honda Motor Co.,Global,,,,Critical Manufacturing,,WannaCry,S0366,,,,,,,,,https://siliconangle.com/2017/06/21/wannycry-ransomware-takes-honda-car-manufacturing-plant-offline/,,"affected manufacturing, financial services, and customer service operations"
148,7/1/2017,2017,,Murfreesboro PD and FD,TN,,,,Emergency Services,,WannaCry,S0366,6,1 week or less,,,,No,N/A,N/A,https://www.tennessean.com/story/news/crime/2017/07/05/murfreesboro-police-fire-computers-infected-virus/453774001/,,
149,7/1/2017,2017,"Unspecified, July 2017",Cape May County,NJ,New Jersey,Cape May County,"Cape May County, NJ",Government Facilities,,,,,,,,,,,,https://www.pressofatlanticcity.com/news/cape-may-county-the-target-of-several-ransomware-attacks/article_a391ebf2-ee69-57ac-b5d2-a500576f73b4.html,,
150,7/5/2017,2017,,Marion County Fairgrounds,IN,,,,Commercial Facilities,,,,,,1000 in bitcoin,"$1,000 ",$1000 or less,,,,https://fox59.com/2017/07/07/brownsburg-public-library-and-marion-county-fairgrounds-hit-by-ransomware-attacks/,,
151,7/5/2017,2017,,Brownsburg Public Library,IN,Indiana,Hendricks County,"Hendricks County, IN",Government Facilities,,,,,,$1000 in bitcoin,"$1,000 ",$1000 or less,Yes,bitcoin,"$1,000",https://fox59.com/2017/07/07/brownsburg-public-library-and-marion-county-fairgrounds-hit-by-ransomware-attacks/,,
152,8/1/2017,2017,"Unspecified, August, 2017",Mad River Fire and EMS,OH,,,,Emergency Services,,,,,,"$11,400 in bitcoin","$11,400",$50000 or less,No,N/A,N/A,https://www.springfieldnewssun.com/news/local/mad-river-twp-fire-and-ems-data-hacked-encrypted-with-ransomware/opxU7apA05cKTWwKzcxZMK/,,
153,8/1/2017,2017,,Iberia Parish Sheriff's Office,LA,Louisiana,Iberia Parish,"Iberia Parish, LA",Government Facilities,Emergency Services,,,,,,,,No,N/A,N/A,https://www.klfy.com/news/iberia-parish-sheriffs-office-computer-system-attacked-by-ransomware-virus/,,
154,8/1/2017,2017,"Unspecified, August, 2017",City of Washington,MO,Missouri,Franklin County,"Franklin County, MO",Government Facilities,,,,,,,,,No,N/A,N/A,http://www.emissourian.com/local_news/washington/a-year-in-review-major-news-stories/article_4848bab7-0c3e-5735-b58a-b03384361624.html,,
155,8/1/2017,2017,"Unspecified, August, 2017",Dorchester School District,SC,South Carolina,Dorchester County,"Dorchester County, SC",Education Facilities Subsector,,,,,,"$2,900 ","$2,900",$50000 or less,Yes,,"$2,900",https://www.postandcourier.com/news/report-dorchester-district-suffers-summer-ransomware-attack-no-student-or/article_c9bd9e3a-8ddd-11e7-b3e9-f36127b6e7f4.html,,
156,8/3/2017,2017,,Cloquet School District,MN,Minnesota,Carlton County,"Carlton County, MN",Education Facilities Subsector,,,,,,,,,No,N/A,N/A,https://www.pinejournal.com/news/4486912-cloquet-school-district-hit-second-ransomware-attack,,"rebuilt data instead- total costs of recovery about $15,000"
157,8/16/2017,2017,,Becker County,MN,Minnesota,Becker County,"Becker County, MN",Government Facilities,,WannaCry,S0366,,,,,,No,N/A,N/A,https://www.echopress.com/news/4313266-becker-county-website-shut-down-cyber-attack,,
158,8/25/2017,2017,,NHS Lanarkshire board hospitals,Scotland,,,,Healthcare and Public Health,,BitPaymer,,4,1 week or less,,,,,,,https://www.bleepingcomputer.com/news/security/bit-paymer-ransomware-hits-scottish-hospitals/,,
159,9/9/2017,2017,,Butler County (and PD),KS,Kansas,Butler County,"Butler County, KS",Government Facilities,Emergency Services,,,,,,,,,,,https://www.ksn.com/news/local/ransomware-attack-hits-butler-county-computer-network/,,
160,9/9/2017,2017,,Town of St Johnsbury,VT,Vermont,Caledonia County,"Caledonia County, VT",Government Facilities,,Global 3,,,,,,,No,N/A,N/A,https://www.caledonianrecord.com/news/local/st-johnsbury-town-computer-hacked/article_9bd20a98-29d3-52dd-807e-f01392fa7cde.html,,
161,9/15/2017,2017,,Indianhead Library System,WI,Wisconsin,,", WI",Government Facilities,,,,,,,,,,,,https://www.leadertelegram.com/news/front-page/no-id-theft-related-to-nw-wisconsin-library-system-hack/article_5329b68e-c659-5353-a5aa-6fd318b53228.html,,
162,9/18/2017,2017,,Montgomery County (Alabama),AL,,Montgomery County,"Montgomery County, AL",Government Facilities,,Samsam,S0370,1 week,1 week or less,9 bitcoin,37000,$50000 or less,Yes,Bitcoin,"$37,000",https://www.alexcityoutlook.com/news/tallapoosa-county-recovers-from-ransomware-attack/article_11c1983e-b23a-11ea-a31f-c353b4adbb67.html; https://www.courthousenews.com/alabama-county-reportedly-paid-37000-ransom-cyber-attack/,,
163,10/4/2017,2017,,City of Englewood,CO,Colorado,Arapahoe County,"Arapahoe County, CO",Government Facilities,,,,,,,,,No,N/A,N/A,https://www.denverpost.com/2017/10/04/englewood-computers-ransomware-attack/,,
164,10/5/2017,2017,,Topsham,ME,Maine,Sagadahoc County,"Sagadahoc County, ME",Government Facilities,,,,,,,,,No,N/A,N/A,https://www.seculore.com/cyber-attacks-maine,,
165,10/15/2017,2017,"Unspecified, mid-October, 2017",Town of Yarrow Point,WA,Washington,King County,"King County, WA",Government Facilities,,,,,,"$10,000 in bitcoin","$10,000",$50000 or less,Yes,bitcoin,"$10,000 in bitcoin",https://www.seattletimes.com/seattle-news/eastside/wire-transfer-scheme-ransomware-attack-tiny-yarrow-point-finds-itself-in-criminals-crosshairs/,,
